perfiles \ monto hasta,2,5,6,8,10,12,15,20,30,40,50,60,70,80,100,198,9999999
P1,"-1,96","-4,72",-4,"-5,88","-4,22","-3,96","-3,32","-3,8","-4,28","-4,64","-4,88","-5,62","-5,74","-5,86","-6,1","-5,74",0
P2,"-1,72","-3,48","-3,96","-4,44","-2,48","-2,84","-3,2","-3,56","-4,16","-4,52","-4,76","-5,38","-5,62","-5,74","-6,1","-2,74",0
P3,"-0,62",-3,"-3,48","-4,08",-2,"-2,36","-2,72","-3,2","-3,68","-4,16","-4,4","-5,02","-5,26","-5,38","-6,1","-2,74",0
P4,"-0,26","-2,64","-3,12","-3,72","-1,76","-2,12","-2,48","-2,96","-3,44","-3,8","-4,16","-4,9","-5,02","-5,14","-6,1","-2,74",0
P5,"-0,52","-2,52","-2,88","-3,48","-1,52","-1,88","-2,24","-2,72","-3,32","-3,68","-3,92","-4,66","-4,9","-5,02","-6,1","-2,74",0
P6,"-0,68","-1,8","-2,28","-2,88","-1,54","-1,68","-1,76","-1,24","-1,84","-2,2","-2,56","-3,18","-3,42","-3,54","-5,1","-1,74",0
P7,"-0,5","-1,32","-1,8","-2,52","-1,36","-1,62","-1,28","-0,76","-1,48","-1,84","-2,2","-2,94","-3,06","-3,3","-5,1","-1,74",0
P8,"-0,34","-1,08","-1,56","-2,16","-0,32","-0,88","-1,04","-0,52","-1,24","-1,6","-1,96","-2,7","-2,82","-3,06","-5,1","-1,74",0
P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0